gen,cand,arm_ke,arm_kd,hand_ke,hand_kd,friction,object_mass,joint_armature,add_banana_2,add_apple_3,add_baseball_0,add_book_0,add_beige_brush_0,mean_add
0,0,3993,92.349,29.037,2.4031,0.8739,0.17478,0.024821,0.08161,0.11014,0.05053,0.13115,0.05940,0.08657
0,1,4666.4,76.319,27.332,0.76585,0.76483,0.22989,0.003324,0.08253,0.11345,0.05334,0.09040,0.06071,0.08009
0,2,1111.5,72.348,11.164,1.1983,0.59291,0.088704,0.02325,0.08138,0.11016,0.04829,0.08354,0.05501,0.07568
0,3,2634.4,103.96,8.8072,0.73097,1.0659,0.1031,0.012414,0.08309,0.11019,0.05037,0.08420,0.05655,0.07688
0,4,2123.1,84.543,14.145,2.9046,0.99226,0.10879,0.016056,0.08151,0.11740,0.04852,0.05636,0.05506,0.07177
0,5,1485.6,112.78,6.473,0.46553,1.12,0.30595,0.011037,0.08335,0.11352,0.06699,0.09684,0.06594,0.08533
0,6,2806.8,84.086,8.5387,0.66075,0.76707,0.36755,0.012187,0.08361,0.11469,0.06101,0.03368,0.05854,0.07031
0,7,1087.3,120.51,16.024,0.67728,1.4221,0.36207,0.017093,0.08316,0.11012,0.06940,0.09690,0.05614,0.08314
1,0,2548.9,53.148,6.7828,1.7275,1.0295,0.15054,0.023375,0.08148,0.11052,0.04805,0.09409,0.05764,0.07836
1,1,4758,89.329,8.1726,0.99191,0.46414,0.10585,0.021334,0.08291,0.11021,0.04888,0.05332,0.05864,0.07079
1,2,4793.2,41.709,5.1632,1.7101,1.9281,0.31856,0.0058003,0.08144,0.10907,0.04862,0.09555,0.05586,0.07811
1,3,1984,38.481,12.149,1.1345,0.37137,0.46483,0.01482,0.08445,0.11581,0.04867,0.04106,0.05627,0.06925
1,4,3837.2,98.176,8.8654,1.3562,1.0858,0.2251,0.02201,0.08144,0.11194,0.04911,0.07964,0.05514,0.07545
1,5,1661.6,109.89,7.8289,1.4049,1.2304,0.41691,0.011156,0.08330,0.11426,0.04915,0.05659,0.06099,0.07286
